date,value
2024-01-01,100.5
2024-01-02,102.3
2024-01-03,98.7
2024-01-04,105.2
2024-01-05,103.8
2024-01-06,107.1
2024-01-07,109.4
2024-01-08,106.2
2024-01-09,108.9
2024-01-10,111.5
2024-01-11,110.2
2024-01-12,112.8
2024-01-13,115.3
2024-01-14,113.7
2024-01-15,116.9
2024-01-16,118.4
2024-01-17,115.6
2024-01-18,119.2
2024-01-19,121.7
2024-01-20,120.3
2024-01-21,123.5
2024-01-22,125.1
2024-01-23,122.8
2024-01-24,126.4
2024-01-25,128.9
2024-01-26,127.2
2024-01-27,130.6
2024-01-28,132.3
2024-01-29,129.8
2024-01-30,133.5
